pi.vec,procedure,FDR,n,bound,power
0.9,ADDIS,0.005172862580222261,50,1,0.40940317854336084
0.9,LORD2.plus,0.003594895362587841,50,1,0.3892173613609799
0.9,SAFFRON,0.008942307794740775,50,1,0.44918974245807697
0.9,LOND,0.0023829606692212764,50,1,0.3621947352340513
0.9500000000000001,Bonferroni,1.5074493700180283e-4,50,1,0.26775624878238036
0.9500000000000001,LORD,0.0010834938673740752,50,1,0.34261839231933205
0.9500000000000001,ADDIS,0.0026283664467628655,50,1,0.41662459066202323
0.9500000000000001,LORD2.plus,0.001794684242421037,50,1,0.3943057879231051
0.9500000000000001,SAFFRON,0.004687812900863293,50,1,0.46199003722407667
0.9500000000000001,LOND,0.001184940734218787,50,1,0.3651551348450092
1,Bonferroni,0,50,1,0.2676681
1,LORD,0,50,1,0.34714390000000006
1,ADDIS,0,50,1,0.42434520000000003
1,LORD2.plus,0,50,1,0.3991612000000001
1,SAFFRON,0,50,1,0.4748075
1,LOND,0,50,1,0.36818390000000006
0.01,Bonferroni,0.006659535714285714,50,0,0.19227672653274902
0.01,LORD,0.003582752433024492,50,0,0.17420481124030027
0.01,ADDIS,0.01973104151495829,50,0,0.2107729028557934
0.01,LORD2.plus,0.0036345749066754502,50,0,0.17463438626710912
0.01,SAFFRON,0.04338708210845444,50,0,0.19999832510541368
0.01,LOND,0.00671172644022644,50,0,0.19311054538085468
0.02,Bonferroni,0.006489619047619048,50,0,0.19197185625080182
0.02,LORD,0.0035502609070803925,50,0,0.17499218705714226
0.02,ADDIS,0.019169427038558628,50,0,0.214269154861036
0.02,LORD2.plus,0.0036786772496250663,50,0,0.17572268789102008
0.02,SAFFRON,0.043953446277860096,50,0,0.20216850466062758
0.02,LOND,0.0066591525273745865,50,0,0.19330205172727571
0.03,Bonferroni,0.005633952380952381,50,0,0.1911546452637355
0.03,LORD,0.0034223690950360842,50,0,0.17513599922851125
0.03,ADDIS,0.01987032774626189,50,0,0.21730165535114282
0.03,LORD2.plus,0.003595463687858478,50,0,0.17628372563353495
0.03,SAFFRON,0.042652042847090635,50,0,0.20417107222951364
0.03,LOND,0.0058490186688311685,50,0,0.19308399076687788
0.04,Bonferroni,0.0056954022366522365,50,0,0.19376651690338748
0.04,LORD,0.0034978690902990744,50,0,0.178234798704972
0.04,ADDIS,0.019160535586442033,50,0,0.21918685730756715
0.04,LORD2.plus,0.003679208519206971,50,0,0.1797421489363713
0.04,SAFFRON,0.04290970893869793,50,0,0.2074563672148213
0.04,LOND,0.005972941908539398,50,0,0.19638774700175893
0.05,Bonferroni,0.005224869047619048,50,0,0.19281832162590265
0.05,LORD,0.003420254066240232,50,0,0.17819153517806033
0.05,ADDIS,0.01959910559806775,50,0,0.22274472898273803
0.05,LORD2.plus,0.0036902929445502934,50,0,0.18018231010453306
0.05,SAFFRON,0.04257359250920903,50,0,0.21021574670715149
0.05,LOND,0.0056031845615684625,50,0,0.19626675915930167
0.060000000000000005,Bonferroni,0.005076027236652236,50,0,0.19204004912852843
0.060000000000000005,LORD,0.003387220821829538,50,0,0.17795151314564595
0.060000000000000005,ADDIS,0.020065498375538206,50,0,0.2234400642084002
0.060000000000000005,LORD2.plus,0.003651186642207346,50,0,0.18032062587230557
0.060000000000000005,SAFFRON,0.042872463537132866,50,0,0.21281735043946062
0.060000000000000005,LOND,0.005441503627908039,50,0,0.19631416262768198
0.06999999999999999,Bonferroni,0.004542535714285714,50,0,0.1923828739893066
0.06999999999999999,LORD,0.0033199843649436562,50,0,0.17953405904095002
0.06999999999999999,ADDIS,0.019003299342828475,50,0,0.22646558456434251
0.06999999999999999,LORD2.plus,0.003640882012076499,50,0,0.18247119971151585
0.06999999999999999,SAFFRON,0.04255867121465426,50,0,0.21538604367871908
0.06999999999999999,LOND,0.00491314137019671,50,0,0.1974644072019741
0.08,Bonferroni,0.004353422619047619,50,0,0.19213407433220964
0.08,LORD,0.003209232344040257,50,0,0.1802598643729322
0.08,ADDIS,0.0195604891685526,50,0,0.23125319890635027
0.08,LORD2.plus,0.003529143245064264,50,0,0.1836295525846423
0.08,SAFFRON,0.04307306640397318,50,0,0.21803461689312872
0.08,LOND,0.004793310975135975,50,0,0.1980598119407875
0.09,Bonferroni,0.003978628968253968,50,0,0.19193405598170624
0.09,LORD,0.003093047844389912,50,0,0.18119974405525463
0.09,ADDIS,0.02027351444841774,50,0,0.23323095728938736
0.09,LORD2.plus,0.003456996152860598,50,0,0.18497249816390887
0.09,SAFFRON,0.04322456464282979,50,0,0.22174370256977868
0.09,LOND,0.004524623636540356,50,0,0.1986251101725208
0.1,Bonferroni,0.0038847505411255413,50,0,0.19295056081633524
0.1,LORD,0.003104524596175377,50,0,0.18316190151438216
0.1,ADDIS,0.019834672631766945,50,0,0.23561890710230812
0.1,LORD2.plus,0.003468211413561805,50,0,0.1873145435207924
0.1,SAFFRON,0.043099154197782666,50,0,0.2250893117036566
0.1,LOND,0.004362436513349052,50,0,0.20060013718283418
0.15000000000000002,Bonferroni,0.0029204206349206347,50,0,0.19269319580712807
0.15000000000000002,LORD,0.0030917698202842557,50,0,0.18896635757514532
0.15000000000000002,ADDIS,0.02005079080404543,50,0,0.2511741780540098
0.15000000000000002,LORD2.plus,0.003528056362725928,50,0,0.19500961810528902
0.15000000000000002,SAFFRON,0.043625381998028734,50,0,0.2413067094394088
0.15000000000000002,LOND,0.0035573851560161546,50,0,0.20424473526089518
0.2,Bonferroni,0.0022469085799821094,50,0,0.19233963208839275
0.2,LORD,0.0032312754288973096,50,0,0.19507256685061516
0.2,ADDIS,0.020093549411056864,50,0,0.2644818457951689
0.2,LORD2.plus,0.0035316474335724637,50,0,0.2021164944324423
0.2,SAFFRON,0.043479459301101094,50,0,0.258079595730841
0.2,LOND,0.0029889448908619596,50,0,0.20764924417134423
0.25,Bonferroni,0.0017239821706071705,50,0,0.19202594093414885
0.25,LORD,0.003256726409326407,50,0,0.20156935234262108
0.25,ADDIS,0.020724657414181443,50,0,0.2792198884497972
0.25,LORD2.plus,0.0034741003220023353,50,0,0.2095120739823482
0.25,SAFFRON,0.04295152466109132,50,0,0.2739211184256348
0.25,LOND,0.0025678397004726726,50,0,0.21096440097396882
0.30000000000000004,Bonferroni,0.001551556734931735,50,0,0.19194454146573744
0.30000000000000004,LORD,0.0034447519251715325,50,0,0.20809527371077036
0.30000000000000004,ADDIS,0.02119750420950421,50,0,0.2916864030370147
0.30000000000000004,LORD2.plus,0.0035198691777069586,50,0,0.21646616097775678
0.30000000000000004,SAFFRON,0.04200308496879814,50,0,0.29062521731576
0.30000000000000004,LOND,0.0023305609080676807,50,0,0.21429767306586975
0.35,Bonferroni,0.0011570505189255188,50,0,0.19266731375691695
0.35,LORD,0.003530433800032665,50,0,0.215402203165071
0.35,ADDIS,0.020073309527513832,50,0,0.30425329915408106
0.35,LORD2.plus,0.003452237781777715,50,0,0.22384497752909016
0.35,SAFFRON,0.04066715348162892,50,0,0.3058300389520909
0.35,LOND,0.0019651846106436897,50,0,0.21802733379729258
0.4,Bonferroni,9.312645479520479e-4,50,0,0.1925623800969618
0.4,LORD,0.003426258280955863,50,0,0.2218120371704396
0.4,ADDIS,0.019447236709673837,50,0,0.31515159682622645
0.4,LORD2.plus,0.0032287477470328016,50,0,0.22991309156317094
0.4,SAFFRON,0.039252844168312914,50,0,0.32075631249656716
0.4,LOND,0.0016741015779885749,50,0,0.2208254133106374
0.45000000000000007,Bonferroni,7.588092671217671e-4,50,0,0.192669549340426
0.45000000000000007,LORD,0.003333813287773515,50,0,0.22822338013723323
0.45000000000000007,ADDIS,0.018598751454143983,50,0,0.3252777196334685
0.45000000000000007,LORD2.plus,0.003005201710379688,50,0,0.23590520843515392
0.45000000000000007,SAFFRON,0.036927742964306925,50,0,0.3345911759549701
0.45000000000000007,LOND,0.0015118042254013617,50,0,0.2235239685460469
0.5,Bonferroni,6.535930666555666e-4,50,0,0.1925992297938002
0.5,LORD,0.003243606620595068,50,0,0.23432409513133798
0.5,ADDIS,0.01765625848051443,50,0,0.33549237459063497
0.5,LORD2.plus,0.002797689286715355,50,0,0.24137883937573398
0.5,SAFFRON,0.03420393131433075,50,0,0.3482242276787024
0.5,LOND,0.0013408755980777198,50,0,0.2260489716419505
0.55,Bonferroni,5.350971981449923e-4,50,0,0.1925493763674736
0.55,LORD,0.0031843008082468173,50,0,0.2405410301863937
0.55,ADDIS,0.016524932636965167,50,0,0.34585391596748477
0.55,LORD2.plus,0.0026310082935621705,50,0,0.24679683967734464
0.55,SAFFRON,0.03156432211104964,50,0,0.3616174443421133
0.55,LOND,0.0011947940541119216,50,0,0.22874524685388328
0.6,Bonferroni,4.453468533100886e-4,50,0,0.1925552633206172
0.6,LORD,0.002971639286179032,50,0,0.24642812502863218
0.6,ADDIS,0.015118742836785043,50,0,0.3552826445354672
0.6,LORD2.plus,0.002388234393347382,50,0,0.2517520313777433
0.6,SAFFRON,0.029470408687731774,50,0,0.37466068375412753
0.6,LOND,0.0010667865253726322,50,0,0.23099656658625656
0.65,Bonferroni,3.367266001971884e-4,50,0,0.19268645812487045
0.65,LORD,0.002721962233144781,50,0,0.2522166098087262
0.65,ADDIS,0.013723560796572144,50,0,0.36331654568037597
0.65,LORD2.plus,0.002101482447926521,50,0,0.2566117613363544
0.65,SAFFRON,0.026357535542407818,50,0,0.38705057485756916
0.65,LOND,8.750419942453039e-4,50,0,0.2333039362480797
0.7000000000000001,Bonferroni,2.9073981329035003e-4,50,0,0.19262053239222196
0.7000000000000001,LORD,0.0024801313654214657,50,0,0.2577736608484295
0.7000000000000001,ADDIS,0.01224596101467918,50,0,0.3713292797773442
0.7000000000000001,LORD2.plus,0.0018171525993717762,50,0,0.2609225339038525
0.7000000000000001,SAFFRON,0.023276710955938883,50,0,0.3995039609469459
0.7000000000000001,LOND,7.553077974153129e-4,50,0,0.23543782733481572
0.75,Bonferroni,2.1894046903818575e-4,50,0,0.19248660567185655
0.75,LORD,0.0020891640271051438,50,0,0.26290221820356846
0.75,ADDIS,0.010471840168894728,50,0,0.3802170590963601
0.75,LORD2.plus,0.0014885709037162063,50,0,0.26485255609661856
0.75,SAFFRON,0.01999630793692975,50,0,0.4115449838812219
0.75,LOND,5.871141765324904e-4,50,0,0.23728396733656956
0.8,Bonferroni,1.614871725422018e-4,50,0,0.1926121035770982
0.8,LORD,0.0017783105090487818,50,0,0.26847643896364
0.8,ADDIS,0.008615969332210212,50,0,0.3877459582906034
0.8,LORD2.plus,0.0012397902581212862,50,0,0.26915454196566224
0.8,SAFFRON,0.01636285434720331,50,0,0.42334461423953246
0.8,LOND,4.552403702280203e-4,50,0,0.239566619981434
0.85,Bonferroni,1.2269180694606392e-4,50,0,0.19260822497047886
0.85,LORD,0.0013847650567368173,50,0,0.2737598282453132
0.85,ADDIS,0.006746308997023679,50,0,0.3955798015195226
0.85,LORD2.plus,9.376590922226626e-4,50,0,0.2731453923694434
0.85,SAFFRON,0.012681531212833825,50,0,0.435739495720875
0.85,LOND,3.3883155870258295e-4,50,0,0.24146307525869368
0.9,Bonferroni,7.399179475495265e-5,50,0,0.1925853706290879
0.9,LORD,9.761800750526806e-4,50,0,0.27872508680580255
0.9,ADDIS,0.004820273443103576,50,0,0.40341894083590485
0.9,LORD2.plus,6.429187213906517e-4,50,0,0.27678853320378577
0.9,SAFFRON,0.008848078838533361,50,0,0.4479839359850851
0.9,LOND,2.4818554514234115e-4,50,0,0.24339125599538988
0.9500000000000001,Bonferroni,3.752887257221623e-5,50,0,0.19276325685993959
0.9500000000000001,LORD,5.04225488969062e-4,50,0,0.2837462124336959
0.9500000000000001,ADDIS,0.0024758288677074907,50,0,0.410448475210778
0.9500000000000001,LORD2.plus,3.193633796370579e-4,50,0,0.28033480957887846
0.9500000000000001,SAFFRON,0.004633763671612977,50,0,0.46075772405175436
0.9500000000000001,LOND,1.1211767451382183e-4,50,0,0.24529667520710716
1,Bonferroni,0,50,0,0.19239369999999997
1,LORD,0,50,0,0.28838460000000005
1,ADDIS,0,50,0,0.41794520000000007
1,LORD2.plus,0,50,0,0.28351170000000003
1,SAFFRON,0,50,0,0.47352629999999996
1,LOND,0,50,0,0.2468062
0.01,Bonferroni,0.025026245436151395,100,1,0.27763858490877596
0.01,LORD,0.016333845767533033,100,1,0.23329527952660165
0.01,ADDIS,0.021946249757979132,100,1,0.2204316614290595
0.01,LORD2.plus,0.01823422562424842,100,1,0.2375948718179662
0.01,SAFFRON,0.04618603202199659,100,1,0.20146480192165392
0.01,LOND,0.027335081549671517,100,1,0.2805016272318145
0.02,Bonferroni,0.022027372761165565,100,1,0.27543713625251875
0.02,LORD,0.014638758762976866,100,1,0.23226541529496514
0.02,ADDIS,0.02197769743314052,100,1,0.22472352131542428
0.02,LORD2.plus,0.018022782077199158,100,1,0.2407990928504944
0.02,SAFFRON,0.04573940192597387,100,1,0.20687853198730918
0.02,LOND,0.026014110280339644,100,1,0.28062419086048607
0.03,Bonferroni,0.01943281614455376,100,1,0.27691782388752084
0.03,LORD,0.014032732815062019,100,1,0.23406754391602877
0.03,ADDIS,0.022353476161941617,100,1,0.22977872836554566
0.03,LORD2.plus,0.01852914948576813,100,1,0.24652476129748857
0.03,SAFFRON,0.04670137520000637,100,1,0.21364329220520337
0.03,LOND,0.02496675957149049,100,1,0.28503885019036534
0.04,Bonferroni,0.01696287877697658,100,1,0.276415114763859
0.04,LORD,0.013270948277165224,100,1,0.23395292263048373
0.04,ADDIS,0.023491020393017432,100,1,0.23812550282189052
0.04,LORD2.plus,0.019007160308200297,100,1,0.250274669270519
0.04,SAFFRON,0.0482229304703639,100,1,0.21636298890438518
0.04,LOND,0.023758120899355264,100,1,0.28769759558462293
0.05,Bonferroni,0.0153626284197847,100,1,0.2751951223654673
0.05,LORD,0.013107051669591073,100,1,0.2349275718127326
0.05,ADDIS,0.023769167915931505,100,1,0.24091271164198444
0.05,LORD2.plus,0.02009973585963787,100,1,0.25404204532452035
0.05,SAFFRON,0.048851899373327484,100,1,0.2228835461561747
0.05,LOND,0.023165057211585665,100,1,0.289470617578307
0.060000000000000005,Bonferroni,0.013861189819096165,100,1,0.2760037884077129
0.060000000000000005,LORD,0.012975238046396506,100,1,0.23843697869178918
0.060000000000000005,ADDIS,0.024203313348043334,100,1,0.24890363920160052
0.060000000000000005,LORD2.plus,0.020309099579199876,100,1,0.2605280999563015
0.060000000000000005,SAFFRON,0.050932064885824906,100,1,0.22854369729744406
0.060000000000000005,LOND,0.022741506340492358,100,1,0.2932333562240436
0.06999999999999999,Bonferroni,0.01206629373213948,100,1,0.27565764794789244
0.06999999999999999,LORD,0.01227519862540507,100,1,0.24023974490298672
0.06999999999999999,ADDIS,0.024555308633307713,100,1,0.253893365092358
0.06999999999999999,LORD2.plus,0.020380806457717428,100,1,0.2649530045858252
0.06999999999999999,SAFFRON,0.050990052319813475,100,1,0.23553885775399172
0.06999999999999999,LOND,0.021274086239454253,100,1,0.2957108211654862
0.08,Bonferroni,0.01090219106620257,100,1,0.27595692930029897
0.08,LORD,0.012668810046980662,100,1,0.24333695044435913
0.08,ADDIS,0.026083974739215292,100,1,0.2588496744814089
0.08,LORD2.plus,0.021442939100429586,100,1,0.2703085807408113
0.08,SAFFRON,0.051927564169429355,100,1,0.24096328433582634
0.08,LOND,0.02064786512616299,100,1,0.2987754152754909
0.09,Bonferroni,0.010210994195596896,100,1,0.27610352784218933
0.09,LORD,0.012957881062318335,100,1,0.24674535013906837
0.09,ADDIS,0.026464431893659122,100,1,0.26468895502820533
0.09,LORD2.plus,0.022128323992178272,100,1,0.2751208596122758
0.09,SAFFRON,0.05230341152800515,100,1,0.2454991583710071
0.09,LOND,0.020973059331328973,100,1,0.3016885374093937
0.1,Bonferroni,0.009427051254301254,100,1,0.27555638371566504
0.1,LORD,0.012783883137217436,100,1,0.24954163080656766
0.1,ADDIS,0.026773742640847826,100,1,0.2709593022420988
0.1,LORD2.plus,0.0224233556915887,100,1,0.2792840767916845
0.1,SAFFRON,0.0526238813787835,100,1,0.2518048671817877
0.1,LOND,0.0205622764793596,100,1,0.3032656666215721
0.15000000000000002,Bonferroni,0.006541269892824694,100,1,0.2761812480685665
0.15000000000000002,LORD,0.013416880371692667,100,1,0.265923061955155
0.15000000000000002,ADDIS,0.028370436219835527,100,1,0.29577230260046405
0.15000000000000002,LORD2.plus,0.02386307677812366,100,1,0.3014723778133737
0.15000000000000002,SAFFRON,0.05465983828083343,100,1,0.2792174457294614
0.15000000000000002,LOND,0.01897032304347709,100,1,0.3155181097462221
0.2,Bonferroni,0.005014756721734051,100,1,0.2753098942380725
0.2,LORD,0.013726929822057235,100,1,0.28000200282254256
0.2,ADDIS,0.029430123750812043,100,1,0.31689457928591674
0.2,LORD2.plus,0.023911579311163896,100,1,0.31869794962498543
0.2,SAFFRON,0.05584826597342889,100,1,0.3029287789747442
0.2,LOND,0.017814798081575732,100,1,0.3240439182764799
0.25,Bonferroni,0.0038570735045074323,100,1,0.2764013601526762
0.25,LORD,0.013660148849924388,100,1,0.29456598237559156
0.25,ADDIS,0.02885340886148721,100,1,0.3351806720200705
0.25,LORD2.plus,0.023811580616968035,100,1,0.3357255055939936
0.25,SAFFRON,0.055184306356857143,100,1,0.3252855403368122
0.25,LOND,0.01672106090040352,100,1,0.33380727865925075
0.30000000000000004,Bonferroni,0.0029755832270612114,100,1,0.27579536497225576
0.30000000000000004,LORD,0.012896976844628226,100,1,0.3051034283428781
0.30000000000000004,ADDIS,0.028365465228911056,100,1,0.3508043598046911
0.30000000000000004,LORD2.plus,0.02267054475007206,100,1,0.3480818483518467
